program_id,program_name,network,priority,phase,categories,product_scope,reward_public,cookie_days,site_allowed,x_allowed,threads_allowed,instagram_allowed,closed_dm_allowed,target_market,registration_fee,approval_required,account_status,media_registration_status,api_or_feed,official_url,terms_url,last_verified_at,evidence_level,next_action,notes
amazon_jp,Amazonアソシエイト,Amazon,A,japan_launch,AI・ガジェット|美容|フィットネス|健康|季節・暮らし,Amazon.co.jp取扱商品,カテゴリ別0%～10%（対象カテゴリのみ）,unknown,yes,needs_account_check,needs_account_check,needs_account_check,no,JP,0,yes,not_applied,not_registered,Creators APIは利用資格が別途必要,https://affiliate.amazon.co.jp/welcome/compensation,https://affiliate.amazon.co.jp/help/operating/policies/,2026-06-25,official_public,サイト公開後に申請して全媒体を登録,有料広告やブースト広告からの誘導は原則不適格。独自解説のない転載型コンテンツを避ける
rakuten_jp,楽天アフィリエイト,楽天,A,japan_launch,AI・ガジェット|美容|フィットネス|健康|季節・暮らし,楽天市場および楽天グループ対象サービス,商品ジャンル別2%～4%,unknown,yes,yes,needs_account_check,yes,no,JP,0,no,registered,registered_unverified,楽天商品APIは別途アプリIDが必要,https://affiliate.rakuten.co.jp/guides/begin/,https://affiliate.rakuten.co.jp/guideline/rule/,2026-06-25,user_reported,管理画面で公開SNSの登録状態とサイトIDを確認,非公開SNSとメール・LINE・DMでのリンク共有は禁止
moshimo_jp,もしもアフィリエイト,もしも,A,japan_launch,AI・ガジェット|美容|フィットネス|健康|季節・暮らし,Amazon・楽天・Yahoo等と個別広告主,管理画面で案件ごとに確認,unknown,yes,needs_program_check,needs_program_check,needs_program_check,needs_program_check,JP,0,yes,not_applied,not_registered,no_public_api_confirmed,https://af.moshimo.com/,https://af.moshimo.com/af/www/terms/shop,2026-06-25,official_public,無料登録後に案件別条件を入力,提携していない媒体への掲載は禁止。支払最低額1000円
a8_jp,A8.net,A8.net,A,japan_launch,AI・ガジェット|美容|フィットネス|健康|季節・暮らし,国内サービス・物販・サブスクリプション,管理画面で案件ごとに確認,unknown,yes,needs_program_check,needs_program_check,needs_program_check,needs_program_check,JP,0,program_dependent,not_applied,not_registered,no_public_api_confirmed,https://www.a8.net/,https://support.a8.net/as/terms.html,2026-06-25,official_public,無料登録後にカテゴリ別案件を抽出,個別案件のSNS可否・成果条件・禁止表現を必ず確認
valuecommerce_jp,バリューコマース,ValueCommerce,B,japan_launch,AI・ガジェット|美容|フィットネス|健康|季節・暮らし,Yahooショッピング等と個別広告主,管理画面で案件ごとに確認,unknown,yes,needs_program_check,needs_program_check,needs_program_check,needs_program_check,JP,0,yes,not_applied,not_registered,no_public_api_confirmed,https://www.valuecommerce.ne.jp/affiliate/,https://www.valuecommerce.ne.jp/st_affiliate/terms.html,2026-06-25,official_public,サイト公開後に申請,審査通過前はリンクをBOTへ登録しない
adobe_jp,Adobeアフィリエイト,Partnerize,A,japan_launch,AI・ガジェット,Adobe Express・Creative Cloud・Document Cloud・Adobe Stock,月額初月85%・年間プラン8.33%,30,yes,yes,needs_application_check,yes,no,JP|global,0,yes,not_applied,not_registered,partner_dashboard,https://www.adobe.com/jp/affiliates.html,https://www.adobe.com/jp/affiliates.html,2026-06-25,official_public,サイトとSNS整備後にPartnerize経由で申請,小規模オーディエンスでも申請可。SNS掲載可能と公式に明記
surfshark_global,Surfsharkアフィリエイト,Tunes|Impact|Awin,B,overseas_ready,AI・ガジェット,VPN・Antivirus・オンラインセキュリティ,新規販売40%から,30,yes,yes,needs_application_check,needs_application_check,no,global,0,yes,not_applied,not_registered,affiliate_dashboard,https://surfshark.com/ja/affiliate,https://surfshark.com/terms-of-service/affiliate,2026-06-25,official_public,日本版で実利用・検証できる場合だけ申請,最低支払100ドル。全言語対応だが未使用なのに体験談を書かない
amazon_global_onelink,Amazon各国アソシエイト・OneLink,Amazon,A,overseas_future,AI・ガジェット|美容|フィットネス|健康|季節・暮らし,Amazon各国マーケットプレイス,国別料率,unknown,yes,needs_country_check,needs_country_check,needs_country_check,no,global,0,yes,not_applied,not_registered,OneLink,https://affiliate-program.amazon.com/help/node/topic/GKHRXG4YEJBTCAFC,https://affiliate-program.amazon.com/help/operating/policies,2026-06-25,official_public,英語版開始時に対象国ごとの登録要否を確認,日本リンクの単純翻訳ではなく国別商品・在庫を照合する
impact_global,impact.comマーケットプレイス,impact.com,B,overseas_future,AI・ガジェット|美容|フィットネス|健康|季節・暮らし,グローバルブランド案件,案件ごとに確認,unknown,yes,program_dependent,program_dependent,program_dependent,program_dependent,global,0,yes,not_applied,not_registered,partner_dashboard,https://impact.com/ja/partners/,https://impact.com/terms-of-use/,2026-06-25,official_public,英語版の実績作成後に案件申請,海外展開用。国内初期運転では使用しない
partnerstack_global,PartnerStackマーケットプレイス,PartnerStack,A,overseas_future,AI・ガジェット,B2B SaaS,案件ごとに確認,unknown,yes,program_dependent,program_dependent,program_dependent,program_dependent,global,0,yes,not_applied,not_registered,partner_dashboard,https://partnerstack.com/,https://partnerstack.com/legal,2026-06-25,official_public,英語AI・SaaSサイト開始時に登録,海外SaaS案件用。製品理解と英語圏向け利用検証が必要
rakuten_mobile_tg,楽天モバイル,TGアフィリエイト,A,japan_services,サービス,楽天モバイル回線,開通完了で定額7000円（公開情報・変更確認必須）,unknown,yes,yes,needs_program_check,needs_program_check,no,JP,0,yes,not_applied,not_registered,link_builder,https://www.linkshare.ne.jp/lsjtopics/45451/,https://www.linkshare.ne.jp/tg/,2026-07-01,official_public,TGアフィリエイト登録後にMID4401へ提携申請,承認前は通常の公式リンクのみ掲載
rakuten_securities_tg,楽天証券,TGアフィリエイト,A,japan_services,サービス,証券総合口座,口座開設1件500円（公式公開情報・変更確認必須）,unknown,yes,needs_program_check,needs_program_check,needs_program_check,no,JP,0,yes,not_applied,not_registered,affiliate_dashboard,https://www.rakuten-sec.co.jp/web/service/affiliate.html,https://www.linkshare.ne.jp/tg/,2026-07-01,official_public,TGアフィリエイト登録後に楽天証券へ掲載申請,外務員登録なしで勧誘や個別商品説明をしない
ebay_partner_network,eBay Partner Network,eBay,A,overseas_future,海外向け日本商品,eBay各国の商品・検索結果,カテゴリ別のeBay収益連動,24,yes,yes,yes,yes,no,global,0,yes,not_applied,not_registered,link_generator|feed|api,https://partnernetwork.ebay.com/,https://partnernetwork.ebay.com/page/network-agreement,2026-07-01,official_public,英語版の商品照合と広告開示を整えて申請,日本商品は配送可能国・送料・返品条件を照合する
