service_id,category,theme,offer_type,target_problem,preferred_network,comparison_axes,minimum_candidates,content_priority,activation_gate,status
ai_writing_saas,AI・ガジェット,AI文章作成,SaaS,文章作成を時短したい,A8|もしも|PartnerStack,月額|無料枠|日本語品質|商用利用|解約,3,A,実利用確認と提携承認,research
ai_meeting_saas,AI・ガジェット,AI議事録,SaaS,会議記録を省力化したい,A8|PartnerStack,文字起こし精度|話者分離|料金|保存|商用利用,3,A,実利用確認と提携承認,research
ai_design_saas,AI・ガジェット,AIデザイン,SaaS,SNS画像を短時間で作りたい,Adobe|A8|PartnerStack,テンプレート|生成機能|料金|商用利用|日本語,3,A,実利用確認と提携承認,research
cloud_storage,AI・ガジェット,クラウドストレージ,SaaS,写真や資料を安全に保存したい,A8|ValueCommerce,容量|同期|共有|復元|料金,3,B,規約確認と提携承認,research
vpn_service,AI・ガジェット,VPN,SaaS,外出先通信を保護したい,Surfshark|Impact|A8,速度|対応端末|同時接続|返金|料金,3,B,実利用と表現審査,research
mobile_sim,AI・ガジェット,格安SIM,通信,通信費を見直したい,A8|ValueCommerce,月額|容量|回線|速度制限|eSIM,4,A,公式料金確認と提携承認,research
internet_fiber,AI・ガジェット,光回線,通信,自宅回線を選びたい,A8|ValueCommerce,実質月額|工事|解約|速度|提供地域,4,B,地域条件と特典更新体制,research
mens_skincare_trial,美容,メンズ美容トライアル,ECサービス,肌に合う基礎化粧品を試したい,A8|もしも,内容量|肌質|継続条件|送料|解約,3,A,薬機法確認と提携承認,research
online_fitness,フィットネス,オンラインフィットネス,サブスク,自宅で運動を続けたい,A8|ValueCommerce,月額|ライブ|見逃し|必要器具|解約,3,A,実体験または公開情報の明示,research
gym_membership,フィットネス,ジム,店舗サービス,通いやすいジムを探したい,A8|ValueCommerce,月額|店舗|営業時間|設備|退会,4,B,地域別ページと提携承認,research
meal_delivery,家事・時短,宅配食,定期購入,調理時間を減らしたい,A8|もしも,1食価格|送料|冷凍容量|栄養|停止,4,A,試食または体験談非使用表記,research
water_delivery,家事・時短,ウォーターサーバー,定期契約,水の購入負担を減らしたい,A8|ValueCommerce,月額|水代|電気代|解約|設置,4,B,総額表示と違約金確認,research
house_cleaning,家事・時短,家事代行,予約サービス,掃除や家事を外注したい,A8|ValueCommerce,料金|対応地域|作業範囲|補償|キャンセル,3,A,地域条件と提携承認,research
storage_service,家事・時短,宅配収納,保管サービス,季節物を預けたい,A8|ValueCommerce,月額|取出料|補償|保管環境|最低期間,3,B,料金更新と提携承認,research
disaster_stock_subscription,防災・備蓄,防災備蓄セット,定期購入,備蓄の期限管理を楽にしたい,A8|もしも,人数|日数|期限管理|内容|送料,3,B,過度な不安訴求禁止,research
home_security,防災・備蓄,ホームセキュリティ,訪問契約,防犯を強化したい,A8|ValueCommerce,初期費用|月額|駆付け|機器|解約,3,C,地域条件と営業条件の確認,research
travel_booking,旅行・外出,宿泊予約,予約,宿泊先を探したい,楽天トラベル|ValueCommerce,総額|キャンセル|立地|口コミ|特典,4,A,媒体登録と提携条件確認,research
travel_esim,旅行・外出,海外eSIM,通信,海外で通信したい,Impact|A8,対応国|容量|有効日数|開通|サポート,4,A,国別条件と実利用確認,research
travel_insurance,旅行・外出,旅行保険,金融,旅行中の損害に備えたい,A8|ValueCommerce,補償|免責|期間|対象外|申込期限,3,C,金融表現の人手審査,research
car_rental,旅行・外出,レンタカー,予約,移動手段を確保したい,楽天トラベル|ValueCommerce,総額|免責|乗捨て|車種|キャンセル,4,B,地域・日時別価格の注意書き,research
moving_quote,暮らし,引越し見積もり,リード,引越し費用を比較したい,A8|ValueCommerce,対応社|入力項目|連絡方法|地域|特典,3,B,個人情報と営業連絡の明示,research
electricity_switch,暮らし,電力会社,契約,光熱費を見直したい,A8|ValueCommerce,料金式|地域|燃調|解約|特典,4,C,最新料金確認と誤認防止,research
online_learning,学び・仕事,オンライン学習,サブスク,スキルを学びたい,A8|もしも,料金|教材|質問|期間|返金,4,B,成果保証表現禁止,research
career_service,学び・仕事,転職サービス,人材,仕事を見直したい,A8|ValueCommerce,対象職種|地域|支援|求人|退会,4,C,職業安定法と誇大表現の確認,research
